"국가","성별","출생아 무게","항목","단위","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년",
"알바니아","남녀합계","총계","출생아 수","","","","44525","47012","43022","39612","34229","33163","","","","","35473","35750","","","","30869","",
"알바니아","남녀합계","500 이하","출생아 수","","","","","","","","","","","","","","121","83","","","","0","",
"알바니아","남녀합계","1000 이하","출생아 수","","","","19","12","","","","","","","","","","","","","","","",
"알바니아","남녀합계","500 - 999","출생아 수","","","","","","13","16","9","14","","","","","43","39","","","","48","",
"알바니아","남녀합계","1000 - 1499","출생아 수","","","","88","106","76","73","64","63","","","","","114","108","","","","123","",
"알바니아","남녀합계","1500 - 1999","출생아 수","","","","376","435","419","359","420","383","","","","","316","318","","","","285","",
"알바니아","남녀합계","2000 - 2499","출생아 수","","","","1363","1647","1428","1230","1198","1348","","","","","1022","1067","","","","943","",
"알바니아","남녀합계","2500 - 2999","출생아 수","","","","8912","9323","8234","7629","7172","7741","","","","","4771","5302","","","","4536","",
"알바니아","남녀합계","3000 - 3499","출생아 수","","","","19032","19687","17488","15675","13325","13411","","","","","12288","13275","","","","11859","",
"알바니아","남녀합계","3500 - 3999","출생아 수","","","","10748","11780","10253","9291","8171","7840","","","","","8452","9104","","","","8982","",
"알바니아","남녀합계","4000 - 4499","출생아 수","","","","2081","2312","2049","1847","1579","1459","","","","","2096","2288","","","","2206","",
"알바니아","남녀합계","4500 - 4999","출생아 수","","","","267","311","287","268","209","176","","","","","238","289","","","","285","",
"알바니아","남녀합계","5000 이상","출생아 수","","","","23","38","44","24","24","26","","","","","33","37","","","","45","",
"알바니아","남녀합계","Unknown","출생아 수","","","","1616","1361","2731","3200","2058","702","","","","","5979","3840","","","","1557","",
"알바니아","남","총계","출생아 수","","","","","","","","","","","","","","18478","18661","","","","16208","",
"알바니아","남","500 이하","출생아 수","","","","","","","","","","","","","","71","48","","","","0","",
"알바니아","남","500 - 999","출생아 수","","","","","","","","","","","","","","23","22","","","","17","",
"알바니아","남","1000 - 1499","출생아 수","","","","","","","","","","","","","","68","47","","","","54","",
"알바니아","남","1500 - 1999","출생아 수","","","","","","","","","","","","","","159","143","","","","147","",
"알바니아","남","2000 - 2499","출생아 수","","","","","","","","","","","","","","450","502","","","","442","",
"알바니아","남","2500 - 2999","출생아 수","","","","","","","","","","","","","","2035","2206","","","","1971","",
"알바니아","남","3000 - 3499","출생아 수","","","","","","","","","","","","","","5962","6474","","","","5729","",
"알바니아","남","3500 - 3999","출생아 수","","","","","","","","","","","","","","4974","5438","","","","5321","",
"알바니아","남","4000 - 4499","출생아 수","","","","","","","","","","","","","","1435","1569","","","","1516","",
"알바니아","남","4500 - 4999","출생아 수","","","","","","","","","","","","","","182","197","","","","200","",
"알바니아","남","5000 이상","출생아 수","","","","","","","","","","","","","","18","28","","","","27","",
"알바니아","남","Unknown","출생아 수","","","","","","","","","","","","","","3101","1987","","","","784","",
"알바니아","여","총계","출생아 수","","","","","","","","","","","","","","16995","17089","","","","14661","",
"알바니아","여","500 이하","출생아 수","","","","","","","","","","","","","","50","35","","","","0","",
"알바니아","여","500 - 999","출생아 수","","","","","","","","","","","","","","20","17","","","","31","",
"알바니아","여","1000 - 1499","출생아 수","","","","","","","","","","","","","","46","61","","","","69","",
"알바니아","여","1500 - 1999","출생아 수","","","","","","","","","","","","","","157","175","","","","138","",
"알바니아","여","2000 - 2499","출생아 수","","","","","","","","","","","","","","572","565","","","","501","",
"알바니아","여","2500 - 2999","출생아 수","","","","","","","","","","","","","","2736","3096","","","","2565","",
"알바니아","여","3000 - 3499","출생아 수","","","","","","","","","","","","","","6326","6801","","","","6130","",
"알바니아","여","3500 - 3999","출생아 수","","","","","","","","","","","","","","3478","3666","","","","3661","",
"알바니아","여","4000 - 4499","출생아 수","","","","","","","","","","","","","","661","719","","","","690","",
"알바니아","여","4500 - 4999","출생아 수","","","","","","","","","","","","","","56","92","","","","85","",
"알바니아","여","5000 이상","출생아 수","","","","","","","","","","","","","","15","9","","","","18","",
"알바니아","여","Unknown","출생아 수","","","","","","","","","","","","","","2878","1853","","","","773","",
"아메리칸사모아","남녀합계","총계","출생아 수","","1730","1655","1629","1608","1713","1720","1442","","","","","","1175","1161","1084","","","","",
"아메리칸사모아","남녀합계","500 이하","출생아 수","","0","1","0","0","0","0","","","","","","","0","0","0","","","","",
"아메리칸사모아","남녀합계","500 - 999","출생아 수","","1","1","2","4","1","1","3","","","","","","3","1","3","","","","",
"아메리칸사모아","남녀합계","1000 - 1499","출생아 수","","4","7","4","6","3","4","5","","","","","","6","3","4","","","","",
"아메리칸사모아","남녀합계","1500 - 1999","출생아 수","","10","13","13","10","18","16","7","","","","","","8","12","12","","","","",
"아메리칸사모아","남녀합계","2000 - 2499","출생아 수","","32","43","46","47","35","44","26","","","","","","35","20","31","","","","",
"아메리칸사모아","남녀합계","2500 - 2999","출생아 수","","160","151","162","170","185","166","155","","","","","","135","118","108","","","","",
"아메리칸사모아","남녀합계","3000 - 3499","출생아 수","","555","502","559","554","592","575","532","","","","","","381","424","419","","","","",
"아메리칸사모아","남녀합계","3500 - 3999","출생아 수","","661","627","556","563","567","632","486","","","","","","413","393","332","","","","",
"아메리칸사모아","남녀합계","4000 - 4499","출생아 수","","237","235","228","194","226","219","172","","","","","","134","139","128","","","","",
"아메리칸사모아","남녀합계","4500 - 4999","출생아 수","","51","55","49","44","68","51","44","","","","","","39","44","39","","","","",
"아메리칸사모아","남녀합계","5000 이상","출생아 수","","19","20","10","16","18","12","12","","","","","","21","7","8","","","","",
"안도라","남녀합계","총계","출생아 수","","","","772","750","813","818","","818","861","838","828","","","637","639","659","","","",
"안도라","남녀합계","500 이하","출생아 수","","","","0","0","0","0","","0","0","0","1","","","0","0","0","","","",
"안도라","남녀합계","500 - 999","출생아 수","","","","0","1","1","0","","1","1","0","0","","","1","1","0","","","",
"안도라","남녀합계","1000 - 1499","출생아 수","","","","0","3","4","1","","2","1","1","1","","","2","1","0","","","",
"안도라","남녀합계","1500 - 1999","출생아 수","","","","9","7","8","8","","9","8","13","8","","","7","6","5","","","",
"안도라","남녀합계","2000 - 2499","출생아 수","","","","40","50","45","41","","36","45","61","49","","","35","26","35","","","",
"안도라","남녀합계","2500 - 2999","출생아 수","","","","212","210","204","212","","203","225","236","202","","","146","166","180","","","",
"안도라","남녀합계","3000 - 3499","출생아 수","","","","337","307","354","330","","355","355","299","323","","","265","237","264","","","",
"안도라","남녀합계","3500 - 3999","출생아 수","","","","121","118","129","145","","137","154","128","133","","","100","113","101","","","",
